ID,q11a_1_i,public,responseid,q0_i,finished,device_phone,TIMING,startdate,enddate,duration_min,durationinseconds,recordeddate,studentprofiletime,studentprofile_min,essaytime,essaytime_min,qduration_essay_min,otheroutcomestime,otheroutcomestime_min,FACTORS,vignette,vignette_n,student_name,father_mail,essay,sex_female,ses_high,spanish,essay_good,essay_cc_high,allpassed,behaviour_good,OUTCOMES,grade_essay,grade_essay_good,grade_essay_bad,repit,expect,psupport,RESPONDENT_VARIABLES,q9_i,q10_1,age,q11b_1_i,q12_i,q13_i,q14_i,q15_i,RESPONDENT_ATTITUDES,q16_1,q16_2,q16_3,q16_4,MANIPULATION_CHECKS,q4_i,q5_i,q6_i,q7_i,q8_i,q8b_i,MANIPULATION_RIGHT_WRONG,sex_signal,migrant_signal,SES_signal,failed_signal,behaviour_signal,cc_signal,signals
,8,0,"R_2Xn8exenro3C91C",1,"TRUE",0,,"12/5/23 09:26","12/5/23 09:34",8.716666,523,"12/5/23 09:34",57.114,.9518999,125.889,2.09815,2,53.753,.8958833,,25,19,1,2,8,0,0,1,1,1,1,0,,9,9,,1,7.5,5,,1,2000,1,5,1,2,1,1,,4,2,1,3,,2,1,5,4,3,3,,1,1,1,1,1,1,1
,18,1,"R_2cpwvvJQVGhXNyV",1,"TRUE",0,,"24/4/23 08:50","24/4/23 08:57",7.433333,446,"24/4/23 08:57",27.522,.4587,142.866,2.3811,2,74.195,1.236583,,25,19,1,2,8,0,0,1,1,1,1,0,,9.2,9.2,,0,7,4,,1,2000,1,2,1,1,1,1,,3,2,1,4,,2,1,5,4,3,3,,1,1,1,1,1,1,1
,6,1,"R_2WGaB7MjwUd6kyo",1,"TRUE",0,,"19/4/23 13:40","19/4/23 13:52",11.8,708,"19/4/23 13:52",90.796,1.513267,149.04,2.484,2,95.602,1.593367,,25,19,1,2,8,0,0,1,1,1,1,0,,10,10,,1.1,5,2,,2,2002,1,1,1,2,1,1,,3,2,1,4,,2,1,5,4,3,3,,1,1,1,1,1,1,1
,3,0,"R_3JF6AMaXtEOlvj6",1,"TRUE",1,,"10/5/23 08:15","10/5/23 08:23",8.816667,529,"10/5/23 08:23",45.656,.7609333,142.905,2.38175,2,76.864,1.281067,,25,19,1,2,8,0,0,1,1,1,1,0,,7.5,7.5,,.7,4.5,1,,2,2001,1,4,1,2,1,1,,3,2,1,4,,2,1,5,4,3,3,,1,1,1,1,1,1,1
,8,0,"R_3e9xcI9Q798PVUL",1,"TRUE",0,,"15/5/23 09:46","15/5/23 09:54",7.7,462,"15/5/23 09:54",40.947,.68245,144.85,2.414167,2,41.709,.69515,,25,19,1,2,8,0,0,1,1,1,1,0,,8.3,8.3,,2,6,4,,2,1999,1,4,1,1,1,1,,3,2,1,4,,2,1,5,4,3,3,,1,1,1,1,1,1,1
,13,0,"R_3JyhLPRMpyoYiVi",1,"TRUE",0,,"22/5/23 01:05","22/5/23 01:21",16.28333,977,"22/5/23 01:21",82.464,1.3744,220.597,3.676617,3,73.26,1.221,,25,19,1,2,8,0,0,1,1,1,1,0,,9,9,,0,9,7,,1,1982,2,4,1,1,2,2,,3,4,2,1,,2,1,5,4,3,3,,1,1,1,1,1,1,1
,21,0,"R_3szRJ77Q3tBrDsq",1,"TRUE",1,,"6/5/23 05:24","6/5/23 05:34",9.833333,590,"6/5/23 05:34",44.361,.73935,132.101,2.201683,2,49.446,.8241,,25,19,1,2,8,0,0,1,1,1,1,0,,9,9,,0,8.5,10,,1,2000,1,4,2,1,1,1,,2,3,1,4,,2,1,5,4,3,3,,1,1,1,1,1,1,1
,6,1,"R_11gRnM0kjJIKlk7",1,"TRUE",0,,"20/4/23 10:52","20/4/23 10:58",6.25,375,"20/4/23 10:58",36.843,.61405,91.703,1.528383,1,40.832,.6805333,,25,19,1,2,8,0,0,1,1,1,1,0,,9.3,9.3,,.1,8.5,6,,2,1985,2,4,2,2,1,2,,3,1,2,4,,2,1,5,4,3,3,,1,1,1,1,1,1,1
,20,0,"R_24l6jEFjVEm1lI6",1,"TRUE",1,,"23/5/23 01:29","23/5/23 01:35",5.983333,359,"23/5/23 01:35",24.812,.4135333,81.875,1.364583,1,41.639,.6939833,,25,19,1,2,8,0,0,1,1,1,1,0,,8.5,8.5,,3,7,4,,2,2004,1,1,1,1,1,1,,3,2,1,4,,2,1,3,4,3,3,,1,1,2,1,1,1,3
,15,0,"R_3NCAG4I8CRJUZBM",1,"TRUE",0,,"18/5/23 05:31","18/5/23 05:37",6.216667,373,"18/5/23 05:37",30.081,.50135,95.181,1.58635,1,39.377,.6562833,,25,19,1,2,8,0,0,1,1,1,1,0,,8.5,8.5,,0,8,3,,2,2001,1,3,2,2,1,1,,2,1,3,4,,2,1,5,5,3,3,,1,1,1,2,1,1,3
,8,0,"R_BxDNqgcluN5D2uZ",1,"TRUE",0,,"11/5/23 08:50","11/5/23 09:00",9.75,585,"11/5/23 09:00",99.214,1.653567,184.802,3.080033,3,66.379,1.106317,,25,19,1,2,8,0,0,1,1,1,1,0,,8.7,8.7,,.5,5.8,5,,2,2002,1,1,1,2,1,1,,2,3,1,4,,2,1,5,4,3,3,,1,1,1,1,1,1,1
,6,1,"R_3OpQxtN8jF5jcZ2",1,"TRUE",0,,"19/4/23 10:55","19/4/23 11:10",14.25,855,"19/4/23 11:10",66.012,1.1002,343.067,5.717783,3,144.71,2.411834,,26,14,1,2,8,0,0,1,1,1,0,0,,7,7,,8,5.5,4,,2,1987,2,3,2,2,1,1,,2,3,1,4,,2,1,5,3,3,3,,1,1,1,1,1,1,1
,18,1,"R_3xbY6QaCUqSerPb",1,"TRUE",0,,"18/5/23 02:42","18/5/23 02:52",9.833333,590,"18/5/23 02:52",45.797,.7632834,98.13,1.6355,1,50.003,.8333833,,26,14,1,2,8,0,0,1,1,1,0,0,,9.5,9.5,,0,8,6,,2,1994,2,7,2,2,1,1,,3,2,1,4,,2,3,5,3,3,3,,1,2,1,1,1,1,3
,18,1,"R_2ayO1PVMpuXYH3m",1,"TRUE",0,,"24/4/23 10:39","24/4/23 10:59",20,1200,"24/4/23 10:59",9.125,.1520833,82.015,1.366917,1,36.514,.6085666,,26,14,1,2,8,0,0,1,1,1,0,0,,10,10,,0,10,10,,2,1981,2,4,1,2,1,1,,2,3,1,4,,2,1,5,4,2,3,,1,1,1,0,0,1,3
,21,0,"R_2VkdoNawMxRQa2J",1,"TRUE",1,,"4/5/23 05:48","4/5/23 05:53",4.15,249,"4/5/23 05:53",40.216,.6702667,64.476,1.0746,1,34.469,.5744833,,26,14,1,2,8,0,0,1,1,1,0,0,,8,8,,2.5,2,2,,2,2003,1,1,2,2,1,1,,2,3,1,4,,2,3,5,3,3,3,,1,2,1,1,1,1,3
,6,1,"R_2v2BY5DkzMQnlqK",1,"TRUE",1,,"20/4/23 00:34","20/4/23 00:52",18.25,1095,"20/4/23 00:52",101.415,1.69025,315.371,5.256183,3,136.06,2.267667,,26,14,1,2,8,0,0,1,1,1,0,0,,8,8,,3,3.3,5,,2,1990,2,1,1,2,2,2,,3,1,2,4,,1,1,2,3,2,3,,0,1,0,1,0,1,3
,7,0,"R_AtVwlZGu3ziYDWV",1,"TRUE",0,,"28/5/23 08:24","28/5/23 08:28",4.716667,283,"28/5/23 08:28",30.394,.5065666,71.494,1.191567,1,25.034,.4172333,,26,14,1,2,8,0,0,1,1,1,0,0,,9,9,,1,7,6,,1,2001,1,4,1,1,1,1,,2,1,3,4,,2,1,5,3,3,1,,1,1,1,1,1,2,3
,3,0,"R_30pJPmnQ7uWHRCF",1,"TRUE",1,,"1/5/23 17:25","1/5/23 17:34",8.233334,494,"1/5/23 17:34",8.85,.1475,168.416,2.806933,3,31.999,.5333167,,26,14,1,2,8,0,0,1,1,1,0,0,,7.6,7.6,,5,8.2,5,,2,2001,1,3,1,1,2,2,,1,2,3,4,,1,3,5,1,2,3,,0,2,1,,0,1,3
,18,1,"R_2wctP1crO0dZzUa",1,"TRUE",1,,"25/4/23 01:10","25/4/23 01:22",11.38333,683,"25/4/23 01:22",41.844,.6974,139.896,2.3316,2,68.354,1.139233,,26,14,1,2,8,0,0,1,1,1,0,0,,7.5,7.5,,2,7,1,,2,1996,2,4,1,2,1,1,,3,2,1,4,,2,5,5,3,3,3,,1,0,1,1,1,1,3
,11,0,"R_2pKaVcmhdM1U797",1,"TRUE",0,,"9/5/23 02:35","9/5/23 02:44",9.15,549,"9/5/23 02:44",44.052,.7341999,157.187,2.619783,3,50.839,.8473167,,26,14,1,2,8,0,0,1,1,1,0,0,,8,8,,.1,9.5,6,,2,1999,1,2,1,2,1,1,,3,2,1,4,,2,1,5,5,3,3,,1,1,1,2,1,1,3
,6,1,"R_1F39ctcMmLrEU3O",1,"TRUE",0,,"21/4/23 04:10","21/4/23 04:16",6.55,393,"21/4/23 04:16",31.548,.5258,67.821,1.13035,1,69.854,1.164233,,26,14,1,2,8,0,0,1,1,1,0,0,,9,9,,2,7,5,,2,1998,1,4,1,2,1,2,,2,3,1,4,,2,1,5,3,3,3,,1,1,1,1,1,1,1
,22,0,"R_3FPDqIk8ieqlp4z",1,"TRUE",1,,"2/5/23 06:30","2/5/23 06:36",6.183333,371,"2/5/23 06:36",44.834,.7472333,23.672,.3945333,1,60.079,1.001317,,26,14,1,2,8,0,0,1,1,1,0,0,,9.8,9.8,,9,3.9,1,,2,2004,1,1,1,2,1,1,,2,3,1,4,,2,1,5,3,3,3,,1,1,1,1,1,1,1
,6,1,"R_syRdryHHeoP50uR",1,"TRUE",0,,"19/4/23 09:17","19/4/23 09:27",9.2,552,"19/4/23 09:27",53.681,.8946833,117.889,1.964817,2,58.775,.9795834,,26,14,1,2,8,0,0,1,1,1,0,0,,6.5,6.5,,8.5,2,3,,2,1991,2,4,2,2,1,1,,3,1,2,4,,2,1,5,3,3,3,,1,1,1,1,1,1,1
,3,0,"R_2AEbiIhoKPRIYV6",1,"TRUE",1,,"1/5/23 11:09","1/5/23 11:16",7.233333,434,"1/5/23 11:16",27.424,.4570667,159.981,2.66635,3,54.821,.9136833,,26,14,1,2,8,0,0,1,1,1,0,0,,9.9,9.9,,4,7,3,,2,2001,1,4,1,2,1,1,,3,1,2,4,,2,1,5,3,3,3,,1,1,1,1,1,1,1
,2,1,"R_2ZVmngMmQc3sPm9",1,"TRUE",0,,"22/5/23 12:34","22/5/23 12:49",15.06667,904,"22/5/23 12:49",60.369,1.00615,168.388,2.806467,3,218.7,3.645,,26,14,1,2,8,0,0,1,1,1,0,0,,8.5,8.5,,9,9,3,,2,2003,1,2,1,1,1,1,,1,3,2,4,,2,1,5,3,3,3,,1,1,1,1,1,1,1
,7,0,"R_3R3oMu6COXG8atP",1,"TRUE",0,,"26/5/23 09:02","26/5/23 09:13",11.05,663,"26/5/23 09:13",47.223,.78705,200.416,3.340267,3,71.847,1.19745,,27,13,1,2,6,0,0,1,1,0,1,0,,9.4,9.4,,2,8,4,,1,2001,1,4,1,1,1,1,,2,3,1,4,,2,1,5,4,3,2,,1,1,1,1,1,1,1
,17,0,"R_24pcE74rPbWQaCg",1,"TRUE",1,,"19/5/23 10:16","19/5/23 10:22",6.4,384,"19/5/23 10:22",27.702,.4617,154.699,2.578317,3,34.526,.5754334,,27,13,1,2,6,0,0,1,1,0,1,0,,10,10,,0,10,6,,2,2003,1,2,1,1,1,1,,2,3,1,4,,2,1,5,4,3,2,,1,1,1,1,1,1,1
,15,0,"R_3KGGwodMcssJfDg",1,"TRUE",1,,"18/5/23 19:08","18/5/23 19:16",8.166667,490,"18/5/23 19:16",30.241,.5040166,117.98,1.966333,2,74.001,1.23335,,27,13,1,2,6,0,0,1,1,0,1,0,,7.5,7.5,,.5,6.5,2,,2,2001,1,1,2,2,1,1,,3,2,1,4,,2,1,5,4,3,2,,1,1,1,1,1,1,1
,6,1,"R_3Ol8OmgnZzDvytj",1,"TRUE",0,,"19/4/23 09:49","19/4/23 09:59",9.483334,569,"19/4/23 09:59",57.817,.9636167,147.903,2.46505,2,65.557,1.092617,,27,13,1,2,6,0,0,1,1,0,1,0,,9,9,,5,5,3,,2,1977,2,2,1,2,1,1,,2,3,1,4,,2,1,5,4,3,1,,1,1,1,1,1,2,3
,14,0,"R_2fDnohBSLEiP6wb",1,"TRUE",0,,"11/5/23 12:08","11/5/23 12:16",7.466667,448,"11/5/23 12:16",10.97,.1828333,78.404,1.306733,1,42.101,.7016833,,27,13,1,2,6,0,0,1,1,0,1,0,,3.8,3.8,,7.5,8.5,5,,1,2000,1,4,2,2,1,1,,3,2,1,4,,2,5,4,3,3,2,,1,0,0,0,1,1,3
,3,0,"R_240jHav2CLKhMcU",1,"TRUE",0,,"16/5/23 10:19","16/5/23 10:29",10.36667,622,"16/5/23 10:29",109.012,1.816867,147.742,2.462367,2,49.844,.8307334,,27,13,1,2,6,0,0,1,1,0,1,0,,8.5,8.5,,0,9,1,,2,2000,1,5,1,2,1,1,,3,1,2,4,,2,1,5,4,3,2,,1,1,1,1,1,1,1
,3,0,"R_2U5zZRFmgkjdwSW",1,"TRUE",0,,"3/5/23 07:09","3/5/23 07:15",6.233333,374,"3/5/23 07:15",46.501,.7750167,103.658,1.727633,2,47.593,.7932166,,27,13,1,2,6,0,0,1,1,0,1,0,,6.1,6.1,,0,4.8,1,,1,1999,1,4,1,1,1,1,,1,2,4,3,,2,1,5,4,3,2,,1,1,1,1,1,1,1
,8,0,"R_RfcEDpGPyNETw5z",1,"TRUE",1,,"11/5/23 23:03","11/5/23 23:11",7.95,477,"11/5/23 23:11",24.186,.4031,134.086,2.234767,2,47.645,.7940834,,27,13,1,2,6,0,0,1,1,0,1,0,,5.5,5.5,,2,8,8,,1,1998,1,4,1,2,1,1,,1,3,2,4,,2,1,5,4,3,2,,1,1,1,1,1,1,1
,6,1,"R_2s5W4Wih5HJjEoe",1,"TRUE",0,,"23/4/23 04:29","23/4/23 04:44",14.25,855,"23/4/23 04:44",109.475,1.824583,286.133,4.768883,3,86.61,1.4435,,27,13,1,2,6,0,0,1,1,0,1,0,,7,7,,0,9,5,,2,1976,2,4,2,1,1,1,,2,3,1,4,,2,1,5,4,3,2,,1,1,1,1,1,1,1
,6,1,"R_cP8qSvGfhxmtz7H",1,"TRUE",0,,"19/4/23 09:45","19/4/23 09:50",5.383333,323,"19/4/23 09:50",33.515,.5585833,76.58,1.276333,1,40.48,.6746666,,27,13,1,2,6,0,0,1,1,0,1,0,,10,10,,.3,7,1,,2,1999,1,3,1,1,1,1,,2,3,1,4,,2,1,5,4,3,2,,1,1,1,1,1,1,1
,12,0,"R_2Xppd4L7Iol5D2J",1,"TRUE",1,,"3/5/23 04:47","3/5/23 04:55",7.55,453,"3/5/23 04:55",42.808,.7134666,170.488,2.841467,3,51.996,.8666,,27,13,1,2,6,0,0,1,1,0,1,0,,8.7,8.7,,.5,8,4,,1,1999,1,1,2,2,1,1,,3,1,2,4,,2,1,5,4,3,2,,1,1,1,1,1,1,1
,6,1,"R_1DSyah3989cwFq6",1,"TRUE",0,,"24/4/23 20:00","24/4/23 20:09",8.466666,508,"24/4/23 20:09",30,.5,145.14,2.419,2,91.724,1.528733,,27,13,1,2,6,0,0,1,1,0,1,0,,9.2,9.2,,0,8,6,,2,1975,2,2,2,2,1,1,,2,3,1,4,,2,1,5,4,3,2,,1,1,1,1,1,1,1
,16,0,"R_1EbbWwRqCTpJbCs",1,"TRUE",0,,"11/5/23 08:57","11/5/23 09:10",12.68333,761,"11/5/23 09:10",105.026,1.750433,198.744,3.3124,3,140.901,2.34835,,27,13,1,2,6,0,0,1,1,0,1,0,,9,9,,1,5,1,,2,2002,1,3,1,2,1,2,,1,3,2,4,,2,1,5,4,3,2,,1,1,1,1,1,1,1
,6,1,"R_1kU2CM3o76oVe4C",1,"TRUE",1,,"24/4/23 11:14","25/4/23 07:18",1204.1,72246,"25/4/23 07:18",62.701,1.045017,16.788,.2798,1,84.335,1.405583,,28,16,1,2,6,0,0,1,1,0,0,0,,6.8,6.8,,4,4.3,3,,1,2002,1,1,1,2,1,1,,3,1,2,4,,2,1,5,3,3,2,,1,1,1,1,1,1,1
,6,1,"R_3itmb12tpYsiQAL",1,"TRUE",0,,"19/4/23 06:30","19/4/23 06:37",6.916667,415,"19/4/23 06:37",29.488,.4914667,100.884,1.6814,2,67.18,1.119667,,28,16,1,2,6,0,0,1,1,0,0,0,,9.5,9.5,,6,5,4,,2,1995,2,2,1,1,1,1,,3,2,1,4,,2,1,5,3,3,3,,1,1,1,1,1,0,3
,22,0,"R_3qxMimzmw102Sqy",1,"TRUE",0,,"2/5/23 11:11","2/5/23 11:17",5.416667,325,"2/5/23 11:17",37.285,.6214167,138.104,2.301733,2,33.08,.5513334,,28,16,1,2,6,0,0,1,1,0,0,0,,8,8,,1.5,10,2,,2,2001,1,3,2,2,1,2,,2,3,1,4,,2,1,5,3,3,2,,1,1,1,1,1,1,1
,6,1,"R_3nMmsNY2tPV0ezu",1,"TRUE",0,,"19/4/23 23:12","19/4/23 23:22",10.28333,617,"19/4/23 23:22",44.359,.7393167,223.413,3.72355,3,85.4,1.423333,,28,16,1,2,6,0,0,1,1,0,0,0,,9,9,,.1,7.5,4,,2,1978,2,2,1,1,1,1,,3,1,2,4,,2,1,5,3,3,2,,1,1,1,1,1,1,1
,6,1,"R_1itGz5SXAkQ8iiM",1,"TRUE",0,,"19/4/23 10:11","19/4/23 10:16",5.25,315,"19/4/23 10:16",38.502,.6417,78.557,1.309283,1,42.136,.7022667,,28,16,1,2,6,0,0,1,1,0,0,0,,8,8,,3.1,4,1,,2,1994,2,2,2,2,1,1,,2,4,1,3,,2,1,5,3,3,2,,1,1,1,1,1,1,1
,17,0,"R_1NFdoGPdCr9MU2L",1,"TRUE",0,,"23/5/23 08:43","23/5/23 08:50",6.6,396,"23/5/23 08:50",14.379,.23965,46.417,.7736167,1,39.786,.6631,,28,16,1,2,6,0,0,1,1,0,0,0,,8.2,8.2,,.9,7.2,7,,2,2002,1,3,1,2,1,1,,3,2,1,4,,2,1,5,2,3,1,,1,1,1,,1,2,3
,22,0,"R_DHLUJ1ZsPj4O3Xr",1,"TRUE",0,,"2/5/23 08:19","2/5/23 08:26",7.766667,466,"2/5/23 08:26",32.673,.54455,140.292,2.3382,2,55.377,.92295,,28,16,1,2,6,0,0,1,1,0,0,0,,7.3,7.3,,3.4,9.4,1,,2,2003,1,2,1,1,1,1,,3,1,2,4,,2,1,5,3,3,2,,1,1,1,1,1,1,1
,6,1,"R_DG08WFMQrOKmTkt",1,"TRUE",1,,"20/4/23 06:16","20/4/23 06:22",5.35,321,"20/4/23 06:22",32.759,.5459833,86.145,1.43575,1,42.68,.7113333,,28,16,1,2,6,0,0,1,1,0,0,0,,9.5,9.5,,3.9,8.5,6,,2,1994,2,3,1,1,1,1,,3,2,1,4,,2,3,5,3,3,2,,1,2,1,1,1,1,3
,11,0,"R_25hzGytTEjpYkXn",1,"TRUE",0,,"9/5/23 03:21","9/5/23 03:28",6.916667,415,"9/5/23 03:28",15.929,.2654833,136.233,2.27055,2,49.218,.8203,,28,16,1,2,6,0,0,1,1,0,0,0,,5.4,5.4,,6.5,2,1,,2,2002,1,3,1,2,1,1,,1,3,2,4,,2,1,5,3,3,2,,1,1,1,1,1,1,1
,6,1,"R_3scwnykBh8tReMJ",1,"TRUE",1,,"19/4/23 06:14","19/4/23 06:21",7.283333,437,"19/4/23 06:21",91.698,1.5283,150.199,2.503317,2,41.878,.6979666,,28,16,1,2,6,0,0,1,1,0,0,0,,9.5,9.5,,0,9,3,,2,1980,2,1,1,2,1,1,,1,3,2,4,,2,1,1,3,3,2,,1,1,0,1,1,1,3
,17,0,"R_1LUQtfDzPntI9UP",1,"TRUE",0,,"22/5/23 02:37","22/5/23 02:45",7.716667,463,"22/5/23 02:45",15.246,.2541,141.66,2.361,2,90.144,1.5024,,28,16,1,2,6,0,0,1,1,0,0,0,,7.6,7.6,,3,7.9,6,,1,2002,1,3,1,1,1,1,,2,3,1,4,,2,1,5,3,3,2,,1,1,1,1,1,1,1
,6,1,"R_CdlIVgfpiS0uSul",1,"TRUE",0,,"21/4/23 01:25","21/4/23 01:34",9.183333,551,"21/4/23 01:34",71.478,1.1913,152.674,2.544567,3,107.487,1.79145,,28,16,1,2,6,0,0,1,1,0,0,0,,8.5,8.5,,7,5,4,,2,1993,2,4,1,1,1,1,,3,2,1,4,,2,1,5,3,3,2,,1,1,1,1,1,1,1
,17,0,"R_3L1IKjGMTi5dbiP",1,"TRUE",0,,"23/5/23 08:44","23/5/23 08:52",7.2,432,"23/5/23 08:52",42.383,.7063833,141.867,2.36445,2,43.972,.7328666,,28,16,1,2,6,0,0,1,1,0,0,0,,5,5,,5,5,4,,2,2002,1,3,1,2,1,1,,2,3,1,4,,2,1,5,3,3,1,,1,1,1,1,1,2,3
,14,0,"R_2UaMsQWp8lM8uz4",1,"TRUE",1,,"11/5/23 02:39","11/5/23 02:43",4.433333,266,"11/5/23 02:43",9.392,.1565333,13.974,.2329,1,27.668,.4611333,,28,16,1,2,6,0,0,1,1,0,0,0,,6.4,6.4,,10,5,1,,2,2004,1,1,1,2,1,1,,2,3,1,4,,2,1,4,3,3,2,,1,1,0,1,1,1,3
,17,0,"R_3Gpn5tYelw8jCBi",1,"TRUE",0,,"22/5/23 09:53","22/5/23 09:59",5.833333,350,"22/5/23 09:59",11.644,.1940667,30.328,.5054666,1,70.316,1.171933,,28,16,1,2,6,0,0,1,1,0,0,0,,7.2,7.2,,3.5,6.5,0,,1,1999,1,2,2,2,1,1,,2,1,3,4,,2,1,3,4,3,3,,1,1,2,0,1,0,3
,18,1,"R_31L3undPdqWCTKC",1,"TRUE",0,,"25/4/23 02:35","25/4/23 02:39",4.183333,251,"25/4/23 02:39",20.732,.3455333,31.534,.5255667,1,41.701,.6950167,,28,16,1,2,6,0,0,1,1,0,0,0,,7.3,7.3,,5,7,3,,2,1999,1,4,1,1,1,1,,3,2,1,4,,2,1,3,3,3,3,,1,1,2,1,1,0,3
,8,0,"R_11cIWhNidBU4Cp1",1,"TRUE",0,,"11/5/23 04:36","11/5/23 05:08",32.38334,1943,"11/5/23 05:08",25.318,.4219667,163.41,2.7235,3,42.721,.7120167,,29,13,1,2,4,0,0,1,0,1,1,0,,3.5,,3.5,8,5,2,,1,2000,1,2,1,1,1,1,,2,3,1,4,,2,1,5,4,3,3,,1,1,1,1,1,1,1
,8,0,"R_3rZkfJnC0n0KOjF",1,"TRUE",1,,"13/5/23 04:09","13/5/23 04:17",7.383333,443,"13/5/23 04:17",33.172,.5528667,96.396,1.6066,1,41.771,.6961833,,29,13,1,2,4,0,0,1,0,1,1,0,,6.5,,6.5,2,8,8,,1,1999,1,3,2,2,1,1,,2,3,1,4,,2,1,5,5,3,3,,1,1,1,2,1,1,3
,6,1,"R_272SJbQDzrem88w",1,"TRUE",0,,"19/4/23 13:06","19/4/23 13:13",7,420,"19/4/23 13:13",41.46,.691,23.508,.3918,1,34.986,.5831,,29,13,1,2,4,0,0,1,0,1,1,0,,6.8,,6.8,.1,7.6,5,,2,1987,2,4,1,1,1,1,,2,3,1,4,,2,1,5,4,3,2,,1,1,1,1,1,0,3
,2,1,"R_1C1u4IfqW7f4e5A",1,"TRUE",1,,"22/5/23 07:38","22/5/23 07:45",7.15,429,"22/5/23 07:45",31.946,.5324333,94.081,1.568017,1,59.806,.9967667,,29,13,1,2,4,0,0,1,0,1,1,0,,6.3,,6.3,0,6,5,,2,2000,1,3,1,2,1,1,,2,3,1,4,,2,1,5,4,3,1,,1,1,1,1,1,2,3
,17,0,"R_2q2xDsvFZk7qPyO",1,"TRUE",0,,"22/5/23 09:51","22/5/23 10:01",9.783334,587,"22/5/23 10:01",61.519,1.025317,133.417,2.223617,2,90.665,1.511083,,29,13,1,2,4,0,0,1,0,1,1,0,,4,,4,4.5,8,2,,2,2003,1,2,1,2,1,1,,2,3,1,4,,2,1,5,4,3,3,,1,1,1,1,1,1,1
,6,1,"R_ZaXAGbTV03Ab9m1",1,"TRUE",0,,"19/4/23 10:54","19/4/23 11:01",6.766667,406,"19/4/23 11:01",34.648,.5774667,98.744,1.645733,1,38.538,.6423,,29,13,1,2,4,0,0,1,0,1,1,0,,7,,7,.1,7.1,8,,2,1980,2,4,1,2,1,1,,2,1,3,4,,2,1,5,4,3,3,,1,1,1,1,1,1,1
,17,0,"R_51i26Wkw5o87cAh",1,"TRUE",1,,"19/5/23 09:37","19/5/23 09:46",9.083333,545,"19/5/23 09:46",47.566,.7927667,160.355,2.672583,3,90.67,1.511167,,29,13,1,2,4,0,0,1,0,1,1,0,,6,,6,6.5,6.5,2,,2,2003,1,2,1,1,1,1,,2,4,1,3,,2,3,3,4,3,1,,1,2,2,1,1,2,3
,18,1,"R_5BCsoXr1wJ42ehr",1,"TRUE",1,,"1/5/23 12:39","1/5/23 12:49",9.616667,577,"1/5/23 12:49",55.257,.92095,147.559,2.459317,2,83.53,1.392167,,29,13,1,2,4,0,0,1,0,1,1,0,,8.7,,8.7,.5,9,8,,2,1982,2,1,1,2,2,2,,1,3,2,4,,2,1,5,4,3,3,,1,1,1,1,1,1,1
,22,0,"R_1jIYwbG25k36IXq",1,"TRUE",0,,"2/5/23 08:21","2/5/23 08:32",11.06667,664,"2/5/23 08:32",76.825,1.280417,147.885,2.46475,2,114.652,1.910867,,29,13,1,2,4,0,0,1,0,1,1,0,,7.5,,7.5,3.5,7.1,5,,2,2004,1,1,1,1,1,1,,2,3,1,4,,2,1,5,4,3,3,,1,1,1,1,1,1,1
,3,0,"R_vB5DQDhCLg9twvn",1,"TRUE",1,,"16/5/23 09:38","16/5/23 09:45",7.833333,470,"16/5/23 09:45",61.027,1.017117,114.2,1.903333,2,78.892,1.314867,,29,13,1,2,4,0,0,1,0,1,1,0,,6.5,,6.5,.5,6.5,5,,2,2001,1,4,1,1,1,1,,1,2,3,4,,2,1,5,4,3,3,,1,1,1,1,1,1,1
,3,0,"R_3nwHS8l36XNdIfx",1,"TRUE",0,,"3/5/23 09:23","3/5/23 09:49",26.01667,1561,"3/5/23 09:49",163.943,2.732383,675.069,11.25115,3,183.945,3.06575,,29,13,1,2,4,0,0,1,0,1,1,0,,5.5,,5.5,2.5,5.5,5,,2,2001,1,4,1,2,1,1,,2,3,1,4,,2,1,5,4,3,3,,1,1,1,1,1,1,1
,16,0,"R_3NDLLU8xS34WgzD",1,"TRUE",1,,"9/5/23 05:31","9/5/23 05:50",18.96667,1138,"9/5/23 05:50",43.302,.7217,384.277,6.404617,3,439.501,7.325017,,29,13,1,2,4,0,0,1,0,1,1,0,,7.5,,7.5,1,9,6,,1,2002,1,3,1,1,1,1,,3,1,2,4,,2,1,5,4,3,3,,1,1,1,1,1,1,1
,20,0,"R_cJ7RHPgLT0w7Vn3",1,"TRUE",0,,"22/5/23 10:35","22/5/23 10:43",7.516667,451,"22/5/23 10:43",47.361,.78935,126.657,2.11095,2,63.877,1.064617,,29,13,1,2,4,0,0,1,0,1,1,0,,7.5,,7.5,0,10,5,,2,2001,1,2,1,1,1,1,,2,3,1,4,,2,1,5,4,3,3,,1,1,1,1,1,1,1
,6,1,"R_2YWau94DObJrcnn",1,"TRUE",0,,"19/4/23 08:05","19/4/23 08:14",9.183333,551,"19/4/23 08:14",59.351,.9891834,147.168,2.4528,2,88.022,1.467033,,30,12,1,2,4,0,0,1,0,1,0,0,,1.5,,1.5,10,1,0,,2,1971,2,4,2,2,1,1,,3,2,1,4,,2,1,5,3,3,3,,1,1,1,1,1,1,1
